Country,City,NUTS_ID,"Lat, Lon",Area,Date,overview-main-road-network,local_oneway_km,local_twoway_km,local_dualcw_km,local_contra_km,overview-local-road-network,ratio_contraflow,overview-track-km,overview-lane-km,overview-shared-pedestrians-km,overview-limited-access-km,overview-busway-km,overview-street-km,overview-total-cycle-infrastructure,overview-ext-cycle-infrastructure,ratio-cycle_tracks-main_roads,ratio-cycle_infra-main_roads,sum_total_surface,sum_total_smoothness,sum_total_width,percentage_with_surface_tag,percentage_with_smoothness_tag,percentage_with_width_tag,surface_type-lane-unknown-km,surface_type-limited_access-asphalt_concrete-km,surface_type-limited_access-blocks_slabs_cobbles-km,surface_type-limited_access-gravel_dirt-km,surface_type-limited_access-stabilised_gravel-km,surface_type-limited_access-unknown-km,surface_type-shared_pedestrians-asphalt_concrete-km,surface_type-shared_pedestrians-blocks_slabs_cobbles-km,surface_type-shared_pedestrians-gravel_dirt-km,surface_type-shared_pedestrians-stabilised_gravel-km,surface_type-shared_pedestrians-unknown-km,surface_type-track-asphalt_concrete-km,surface_type-track-blocks_slabs_cobbles-km,surface_type-track-gravel_dirt-km,surface_type-track-unknown-km,surface_type-track-stabilised_gravel-km,surface_type-track-unrecognised-km,surface_type-shared_pedestrians-unrecognised-km,surface_type-limited_access-unrecognised-km,surface_type-lane-asphalt_concrete-km,surface_type-lane-blocks_slabs_cobbles-km,surface_type-lane-gravel_dirt-km,surface_type-lane-stabilised_gravel-km,surface_type-lane-unrecognised-km,percent_surface_type-lane-unknown,percent_surface_type-limited_access-asphalt_concrete,percent_surface_type-limited_access-blocks_slabs_cobbles,percent_surface_type-limited_access-gravel_dirt,percent_surface_type-limited_access-stabilised_gravel,percent_surface_type-limited_access-unknown,percent_surface_type-shared_pedestrians-asphalt_concrete,percent_surface_type-shared_pedestrians-blocks_slabs_cobbles,percent_surface_type-shared_pedestrians-gravel_dirt,percent_surface_type-shared_pedestrians-stabilised_gravel,percent_surface_type-shared_pedestrians-unknown,percent_surface_type-track-asphalt_concrete,percent_surface_type-track-blocks_slabs_cobbles,percent_surface_type-track-gravel_dirt,percent_surface_type-track-unknown,percent_surface_type-track-stabilised_gravel,percent_surface_type-track-unrecognised,surface_quality-lane-unknown-km,surface_quality-limited_access-badly_rideable-km,surface_quality-limited_access-unknown-km,surface_quality-shared_pedestrians-perfectly_rideable-km,surface_quality-shared_pedestrians-unknown-km,surface_quality-track-unknown-km,surface_quality-track-perfectly_rideable-km,surface_quality-track-well_rideable-km,surface_quality-track-moderatly_rideable-km,surface_quality-track-badly_rideable-km,surface_quality-track-not_rideable-km,surface_quality-shared_pedestrians-well_rideable-km,surface_quality-shared_pedestrians-moderatly_rideable-km,surface_quality-shared_pedestrians-badly_rideable-km,surface_quality-shared_pedestrians-not_rideable-km,surface_quality-limited_access-perfectly_rideable-km,surface_quality-limited_access-well_rideable-km,surface_quality-limited_access-moderatly_rideable-km,surface_quality-limited_access-not_rideable-km,surface_quality-lane-perfectly_rideable-km,surface_quality-lane-well_rideable-km,surface_quality-lane-moderatly_rideable-km,surface_quality-lane-badly_rideable-km,surface_quality-lane-not_rideable-km,percent_quality-lane-unknown,percent_quality-limited_access-badly_rideable,percent_quality-limited_access-unknown,percent_quality-shared_pedestrians-perfectly_rideable,percent_quality-shared_pedestrians-unknown,percent_quality-track-unknown,percent_quality-track-perfectly_rideable,percent_quality-track-well_rideable,percent_quality-track-stabilised_gravel,percent_quality-track-gravel_dirt,percent_quality-track-unrecognised,type-lane-unidirectional,type-lane-bidirectional,type-limited_access-unidirectional,type-limited_access-bidirectional,type-pedestrian-bidirectional,type-shared_pedestrians-unidirectional,type-shared_pedestrians-bidirectional,type-track-unidirectional,type-track-bidirectional,percent_surface_type-lane-asphalt_concrete,percent_surface_type-shared_pedestrians-unrecognised,percent_quality-lane-moderatly_rideable,percent_quality-lane-perfectly_rideable,percent_quality-lane-well_rideable,percent_quality-limited_access-moderatly_rideable,percent_quality-limited_access-not_rideable,percent_quality-limited_access-well_rideable,percent_quality-shared_pedestrians-badly_rideable,percent_quality-shared_pedestrians-moderatly_rideable,percent_quality-shared_pedestrians-well_rideable,percent_quality-track-badly_rideable,percent_quality-track-moderatly_rideable,type-busway-unidirectional,type-pedestrian-unidirectional,type-street-unidirectional,type-street-bidirectional,percent_quality-limited_access-perfectly_rideable,percent_quality-shared_pedestrians-not_rideable,percent_surface_type-limited_access-unrecognised,percent_quality-track-not_rideable
CycleRight,Blekinge län,Blekinge län,"56.124012, 15.402209",6973.893,2024-06-24 13:21,1896.381,19.421,3220.336,0.0,0.106,3239.863,0.542,66.552,4.944,336.409,34.477,0.0,0.0,407.905,442.382,0.035,0.215,240.766,7.938,10.558,54.425,1.794,2.387,4.944,0.747,0.079,26.922,0.074,6.655,143.152,38.44,14.296,4.546,135.975,7.408,2.515,2.586,54.042,,,,,,,,,,100.0,2.166,0.23,78.088,0.214,19.302,42.553,11.427,4.249,1.351,40.42,11.131,3.779,3.886,81.203,,,4.944,2.165,32.311,5.773,330.636,66.552,,,,,,,,,,,,,,,,,,,100.0,6.281,93.719,1.716,98.284,100.0,,,,,,4.317,0.627,0.13,34.347,34.669,0.021,336.388,5.506,61.046,,,,,,,,,,,,,,,,,,,,,
CycleRight,Bologna,Bologna,"44.433313, 11.394503",3707.285,2024-06-24 13:31,3725.61,438.989,4990.32,0.0,9.603,5438.912,2.141,324.487,70.734,374.854,101.857,6.306,7.335,770.075,885.573,0.087,0.207,484.875,65.226,70.224,55.609,7.481,8.054,70.552,19.828,6.288,45.482,4.183,26.077,148.111,37.478,38.177,18.723,130.535,127.897,19.507,9.914,159.893,7.21,0.065,1.83,,0.182,,,,,99.743,19.466,6.173,44.653,4.106,25.602,39.512,9.998,10.185,4.995,34.823,39.415,6.012,3.055,49.276,2.222,0.02,65.698,2.027,96.639,7.843,339.269,305.101,8.109,8.251,2.429,0.597,,24.902,2.246,0.594,,,0.054,2.62,0.518,1.235,2.556,1.245,,,92.88,1.99,94.876,2.092,90.507,94.026,2.499,2.543,,,,69.222,1.512,1.897,99.961,280.014,0.798,374.056,18.169,306.317,0.257,0.488,1.76,1.746,3.614,2.572,0.508,0.053,0.158,0.599,6.643,0.184,0.749,6.306,0.326,0.018,7.318,,,,
CycleRight,Deinze,Deinze,"51.024143, 3.534219",128.215,2024-06-24 13:24,135.06,6.316,417.376,0.0,7.346,431.038,53.77,61.422,41.827,9.44,16.256,0.0,19.52,112.689,148.465,0.455,0.834,37.048,2.662,10.162,28.732,2.064,7.881,41.827,12.148,,0.364,0.126,3.618,7.633,0.423,0.086,0.534,0.763,13.128,1.62,0.063,45.689,0.923,,,,,,,,,100.0,74.73,,2.238,0.775,22.257,80.861,4.485,0.914,5.661,8.079,21.373,2.637,0.102,74.385,1.502,,41.827,,14.412,,9.33,60.715,,0.042,,0.666,,0.024,0.049,,0.037,0.883,0.961,,,,,,,,100.0,,88.654,,98.836,98.848,,0.068,,,,30.506,11.321,,16.256,16.017,0.214,9.226,19.269,42.153,,,,,,,,5.911,,0.519,0.25,1.084,,,,0.383,19.137,5.435,0.396,,
CycleRight,Latvija,Latvija,"56.879812, 24.186358",75305.203,2024-06-24 14:15,24806.897,213.36,47070.726,0.0,4.316,47288.402,1.983,330.258,7.479,520.59,194.101,0.0,0.658,858.327,1053.085,0.013,0.035,739.614,183.196,82.961,70.277,17.407,7.883,7.479,51.154,7.047,61.904,26.748,47.248,266.784,103.339,40.309,10.255,99.903,105.119,57.442,6.35,158.184,2.944,0.219,,,,,,,,100.0,26.354,3.63,31.893,13.78,24.342,51.247,19.85,7.743,1.97,19.19,31.829,17.393,1.923,47.897,0.891,0.066,7.479,4.625,164.388,96.547,395.607,301.759,19.237,7.859,0.526,0.877,,19.61,4.744,2.94,1.142,10.606,10.314,3.426,0.743,,,,,,100.0,2.383,84.692,18.546,75.992,91.371,5.825,2.38,,,,7.479,,0.872,193.229,429.251,0.976,519.614,28.427,301.831,,,,,,1.765,0.383,5.314,0.565,0.911,3.767,0.266,0.159,,,,0.658,5.464,0.219,,
CycleRight,Livorno,Livorno,"42.790217, 10.340279",1214.539,2024-06-24 13:50,1198.024,296.649,1194.384,0.0,4.204,1495.237,1.398,66.258,7.209,28.646,81.173,0.354,5.623,102.112,189.263,0.055,0.085,107.958,28.143,29.376,58.902,15.355,16.028,6.223,9.538,2.896,28.675,10.298,29.712,7.684,9.865,5.483,2.225,3.388,26.054,4.035,,36.004,0.165,,,0.055,0.986,,,,,86.328,11.75,3.568,35.325,12.686,36.603,26.825,34.437,19.142,7.769,11.828,39.322,6.09,,54.339,0.249,,7.209,4.901,68.523,0.227,19.949,59.462,1.226,5.396,0.174,,,5.855,0.633,1.955,0.027,,0.407,6.22,1.121,,,,,,100.0,6.038,84.416,0.792,69.641,89.743,1.851,8.143,,,,6.962,0.246,2.476,78.697,671.234,0.109,28.537,4.817,61.441,13.672,,,,,7.663,1.382,0.501,6.823,2.209,20.441,,0.262,0.354,1.498,,5.623,,0.094,0.067,
CycleRight,Nyugat-Dunántúl,Nyugat-Dunántúl,"47.156919, 16.824550",11332.758,2024-06-24 14:29,5909.366,149.023,5902.271,0.0,7.369,6058.663,4.712,540.534,37.011,103.738,186.854,0.034,0.988,681.283,869.159,0.091,0.115,604.809,275.412,120.665,69.667,31.725,13.899,37.011,67.054,20.239,39.09,37.083,23.387,64.972,5.956,3.493,1.279,28.037,336.779,21.242,1.42,174.893,6.2,,,,,,,,,100.0,35.886,10.831,20.92,19.846,12.516,62.631,5.741,3.367,1.233,27.027,62.305,3.93,0.263,32.356,1.147,,37.011,20.636,114.846,9.929,80.053,360.814,88.422,71.9,19.325,0.072,,7.252,5.301,1.203,,12.958,17.102,20.917,0.396,,,,,,100.0,11.044,61.463,9.571,77.169,66.751,16.358,13.302,,,,37.011,,1.311,185.542,113.195,0.654,103.083,38.185,502.349,,,,,,11.194,0.212,9.152,1.16,5.11,6.99,0.013,3.575,0.034,,,0.988,6.935,,,
CycleRight,Podgorica,Podgorica,"42.426007, 19.248921",66.9,2024-06-24 14:23,119.034,11.8,444.94,0.0,0.0,456.74,0.0,12.967,0.0,5.767,2.583,0.0,0.0,18.733,21.317,0.109,0.157,13.271,5.518,7.989,62.257,25.884,37.479,,0.98,,1.552,,0.052,5.475,0.286,,,0.006,4.836,0.142,,7.988,,,,,,,,,,,37.932,,60.074,,1.994,94.942,4.954,,,0.104,37.297,1.098,,61.605,,,,,2.583,5.475,0.292,12.924,0.031,0.012,,,,,,,,,,,,,,,,,,,100.0,94.942,5.058,99.671,0.236,0.093,,,,,,,2.583,4.759,0.013,5.754,5.63,7.337,,,,,,,,,,,,,,,,,,,,,
CycleRight,Sud-Vest Oltenia,Sud-Vest Oltenia,"44.636354, 23.639319",29202.93,2024-06-24 14:21,10246.652,111.74,13475.173,0.0,0.0,13586.913,0.0,33.974,21.163,14.879,56.045,0.0,0.0,70.015,126.06,0.003,0.007,72.77,36.626,28.677,57.726,29.054,22.749,21.163,10.092,1.12,43.443,,0.896,7.019,0.157,3.97,,3.733,6.475,,,27.499,,,,0.494,,,,,,100.0,18.007,1.998,77.515,,1.598,47.174,1.055,26.683,,25.088,19.059,,,80.941,,,6.865,9.5,38.839,,13.137,30.594,3.38,,,,,,,,1.742,0.168,2.91,3.766,0.862,11.64,2.658,,,,32.438,16.951,69.299,,88.295,90.051,9.949,,,,,15.098,6.065,0.267,55.778,167.797,,14.879,16.706,17.268,,,,55.004,12.558,6.72,1.538,5.193,,,,,,,,,,0.299,11.705,0.881,
CycleRight,Ungheni,Ungheni,"47.206016, 27.802547",16.388,2024-06-24 14:22,20.287,1.272,91.903,0.0,0.0,93.175,0.0,0.0,0.742,0.0,0.0,0.0,0.0,0.742,0.742,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.742,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,0.742,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,0.742,,,,0.383,,,,,,,,,,,,,,,,,,,,,,,,,
CycleRight,województwo podkarpackie,województwo podkarpackie,"49.911377, 22.178743",17845.994,2024-06-24 13:43,8836.843,180.548,13234.969,0.0,0.504,13416.022,0.279,443.118,5.183,227.166,463.404,0.0,2.536,675.467,1141.407,0.05,0.076,753.312,255.533,67.894,66.146,22.437,5.962,5.183,262.855,19.378,74.734,11.868,94.569,87.858,76.122,3.112,2.482,57.592,146.389,67.428,1.086,228.215,,,,,,,,,,100.0,56.723,4.182,16.127,2.561,20.407,38.676,33.509,1.37,1.092,25.352,33.036,15.217,0.245,51.502,,,5.183,16.797,267.452,22.44,202.142,408.561,30.58,1.845,0.574,,1.559,0.842,,1.741,,136.503,20.268,21.499,0.886,,,,,,100.0,3.625,57.715,9.878,88.984,92.201,6.901,0.416,,,,5.183,,0.842,462.561,161.602,6.085,221.081,10.639,432.479,,,,,,4.639,0.191,4.374,0.767,,0.371,,0.13,,0.375,,2.536,29.457,,,0.352
