Country,City,NUTS_ID,"Lat, Lon",Area,Date,overview-main-road-network,local_oneway_km,local_twoway_km,local_dualcw_km,local_contra_km,overview-local-road-network,ratio_contraflow,overview-cycle_tracks-km,overview-cycle_lanes-km,overview-shared_pedestrians-km,overview-limited-access-km,overview-total-cycle-infrastructure,overview-busways-km,overview-cycle_streets-km,overview-ext-cycle-infrastructure,ratio-cycle_tracks-main_roads,ratio-cycle_infra-main_roads,sum_total_surface,sum_total_smoothness,sum_total_width,percentage_with_surface_tag,percentage_with_smoothness_tag,percentage_with_width_tag,type-pedestrian-bidirectional,surface_type-limited_access-blocks_slabs_cobbles-km,surface_type-limited_access-gravel_dirt-km,surface_type-limited_access-unknown-km,surface_type-shared_pedestrians-blocks_slabs_cobbles-km,surface_type-shared_pedestrians-unknown-km,surface_type-track-asphalt_concrete-km,surface_type-track-blocks_slabs_cobbles-km,surface_type-track-gravel_dirt-km,surface_type-track-stabilised_gravel-km,surface_type-track-unknown-km,surface_type-track-unrecognised-km,surface_type-shared_pedestrians-asphalt_concrete-km,surface_type-shared_pedestrians-gravel_dirt-km,surface_type-shared_pedestrians-stabilised_gravel-km,surface_type-shared_pedestrians-unrecognised-km,surface_type-limited_access-asphalt_concrete-km,surface_type-limited_access-stabilised_gravel-km,surface_type-limited_access-unrecognised-km,surface_type-lane-asphalt_concrete-km,surface_type-lane-blocks_slabs_cobbles-km,surface_type-lane-gravel_dirt-km,surface_type-lane-stabilised_gravel-km,surface_type-lane-unknown-km,surface_type-lane-unrecognised-km,percent_surface_type-limited_access-blocks_slabs_cobbles,percent_surface_type-limited_access-gravel_dirt,percent_surface_type-limited_access-unknown,percent_surface_type-shared_pedestrians-blocks_slabs_cobbles,percent_surface_type-shared_pedestrians-unknown,percent_surface_type-track-asphalt_concrete,percent_surface_type-track-blocks_slabs_cobbles,percent_surface_type-track-stabilised_gravel,percent_surface_type-track-gravel_dirt,percent_surface_type-track-unrecognised,percent_surface_type-track-unknown,surface_quality-limited_access-unknown-km,surface_quality-shared_pedestrians-unknown-km,surface_quality-track-perfectly_rideable-km,surface_quality-track-well_rideable-km,surface_quality-track-moderatly_rideable-km,surface_quality-track-badly_rideable-km,surface_quality-track-not_rideable-km,surface_quality-track-unknown-km,surface_quality-shared_pedestrians-perfectly_rideable-km,surface_quality-shared_pedestrians-well_rideable-km,surface_quality-shared_pedestrians-moderatly_rideable-km,surface_quality-shared_pedestrians-badly_rideable-km,surface_quality-shared_pedestrians-not_rideable-km,surface_quality-limited_access-perfectly_rideable-km,surface_quality-limited_access-well_rideable-km,surface_quality-limited_access-moderatly_rideable-km,surface_quality-limited_access-badly_rideable-km,surface_quality-limited_access-not_rideable-km,surface_quality-lane-perfectly_rideable-km,surface_quality-lane-well_rideable-km,surface_quality-lane-moderatly_rideable-km,surface_quality-lane-badly_rideable-km,surface_quality-lane-not_rideable-km,surface_quality-lane-unknown-km,percent_quality-limited_access-unknown,percent_quality-shared_pedestrians-unknown,percent_quality-track-perfectly_rideable,percent_quality_type-track-well_rideable,percent_quality_type-track-stabilised_gravel,percent_quality_type-track-gravel_dirt,percent_quality_type-track-unrecognised,percent_quality_type-track-unknown,type-limited_access-bidirectional,type-shared_pedestrians-bidirectional,percent_surface_type-shared_pedestrians-asphalt_concrete,percent_quality-shared_pedestrians-well_rideable,percent_quality-track-unknown,type-track-bidirectional,percent_surface_type-lane-unknown,percent_quality-lane-unknown,type-lane-unidirectional,type-track-unidirectional,percent_quality-lane-well_rideable,percent_quality-limited_access-badly_rideable,percent_quality-limited_access-moderatly_rideable,percent_surface_type-shared_pedestrians-gravel_dirt,percent_quality-lane-perfectly_rideable,percent_quality-limited_access-not_rideable,percent_quality-shared_pedestrians-badly_rideable,percent_quality-shared_pedestrians-moderatly_rideable,percent_quality-track-well_rideable,percent_surface_type-limited_access-asphalt_concrete,percent_surface_type-shared_pedestrians-stabilised_gravel,percent_quality-limited_access-perfectly_rideable,percent_quality-limited_access-well_rideable,percent_quality-shared_pedestrians-perfectly_rideable,percent_quality-track-moderatly_rideable,type-busway-unidirectional,type-street-bidirectional,percent_surface_type-limited_access-stabilised_gravel,percent_surface_type-limited_access-unrecognised,percent_quality-track-badly_rideable,type-pedestrian-unidirectional,type-shared_pedestrians-unidirectional,percent_quality-shared_pedestrians-not_rideable,type-lane-bidirectional,type-limited_access-unidirectional,percent_quality-lane-moderatly_rideable,percent_quality-track-not_rideable,percent_surface_type-shared_pedestrians-unrecognised,percent_surface_type-lane-asphalt_concrete,percent_surface_type-lane-unrecognised,type-street-unidirectional,percent_quality-lane-badly_rideable,percent_surface_type-lane-blocks_slabs_cobbles,percent_quality-lane-not_rideable,percent_surface_type-lane-stabilised_gravel,type-busway-bidirectional
AL,Berat,AL031,"40.618876, 20.100467",1801.967,2024-01-10 17:06,459.094,0.326,1469.717,0.0,0.0,1470.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Dibër,AL011,"41.611722, 20.190608",2470.309,2024-01-10 17:07,513.052,0.292,1679.656,0.0,0.0,1679.948,0.0,0.0,0.0,1.104,1.958,3.063,0.0,0.0,3.063,0.0,0.006,1.711,0.0,1.711,55.87,0.0,55.87,,0.268,1.388,0.303,0.055,1.049,,,,,,,,,,,,,,,,,,,,13.664,70.873,15.463,5.024,94.976,,,,,,,1.958,1.104,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,1.958,1.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Durrës,AL012,"41.419750, 19.533445",772.537,2024-01-10 17:07,497.214,19.649,1699.806,0.0,0.0,1719.455,0.0,0.063,0.0,1.954,0.689,2.707,0.0,0.0,2.707,0.0,0.005,2.041,1.954,0.514,75.402,72.201,18.981,0.046,0.023,,0.666,,,0.063,,,,,,1.954,,,,,,,,,,,,,3.402,,96.598,,,100.0,,,,,,0.689,,,,,,,0.063,,1.954,,,,,,,,,,,,,,,100.0,,,,,,,,0.689,1.954,100.0,100.0,100.0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Elbasan,AL021,"41.049307, 20.139274",3314.099,2024-01-10 17:07,759.767,2.933,2854.697,0.0,0.0,2857.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Fier,AL032,"40.752077, 19.567103",1881.631,2024-01-10 17:07,922.416,2.27,2468.431,0.0,0.0,2470.702,0.0,1.763,1.369,0.0,0.0,3.132,0.0,0.0,3.132,0.002,0.003,1.418,0.0,0.0,45.279,0.0,0.0,0.594,,,,,,1.418,,,,0.345,,,,,,,,,,,,,1.369,,,,,,,80.442,,,,,19.558,,,,,,,,1.763,,,,,,,,,,,,,,,,1.369,,,,,,,,,,,,,100.0,1.613,inf,inf,1.369,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Gjirokastër,AL033,"40.154629, 20.215725",2880.663,2024-01-10 17:06,576.504,3.05,1433.166,0.0,0.0,1436.215,0.0,2.292,0.0,0.0,0.0,2.292,0.0,0.0,2.292,0.004,0.004,2.282,0.0,2.282,99.531,0.0,99.531,2.001,,,,,,,2.282,,,0.011,,,,,,,,,,,,,,,,,,,,,99.531,,,,0.469,,,,,,,,2.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,2.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Korcë,AL034,"40.585786, 20.737223",3736.578,2024-01-10 17:06,906.767,10.551,1883.988,0.0,0.0,1894.539,0.0,1.076,1.602,18.131,0.0,20.808,0.0,0.0,20.808,0.001,0.023,0.0,0.352,0.0,0.0,1.691,0.0,1.789,,,,,18.131,,,,,1.076,,,,,,,,,,,,,1.602,,,,,,100.0,,,,,,100.0,,18.131,,,,,,1.076,,,,,,,,,,,,0.352,,,,1.25,,100.0,,,,,,,,18.131,,,100.0,0.061,inf,inf,1.602,1.014,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Kukës,AL013,"42.189884, 20.377251",2391.443,2024-01-10 17:07,485.358,1.172,1438.524,0.0,0.0,1439.696,0.0,0.0,0.0,0.0,2.217,2.217,0.0,0.0,2.217,0.0,0.005,2.217,0.0,0.0,100.0,0.0,0.0,0.732,,2.217,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,2.217,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,2.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Lezhë,AL014,"41.788586, 19.884381",1662.353,2024-01-10 17:07,629.483,2.56,1680.135,0.0,0.0,1682.695,0.0,1.187,0.0,0.0,15.6,16.787,0.0,0.0,16.787,0.002,0.027,15.517,15.517,0.0,92.436,92.436,0.0,0.215,0.332,15.186,0.083,,,,,,,1.187,,,,,,,,,,,,,,,2.125,97.343,0.531,,,,,,,,100.0,0.083,,,,,,,1.187,,,,,,,,0.332,15.186,,,,,,,,0.531,,,,,,,,15.6,,,,100.0,,,,,1.187,,97.343,2.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Shkodër,AL015,"42.249474, 19.595771",3528.323,2024-01-10 17:07,858.588,7.844,2003.73,0.0,0.0,2011.574,0.0,5.918,10.847,7.076,49.316,73.157,0.0,0.0,73.157,0.007,0.085,60.781,70.574,1.677,83.083,96.469,2.292,39.811,0.542,48.362,0.411,5.295,0.223,,5.023,,,0.894,,1.432,0.126,,,,,,,,,,10.847,,1.1,98.066,0.834,74.837,3.145,,84.89,,,,15.11,0.079,1.61,4.971,0.052,,,,0.894,,0.963,4.377,0.126,,,,42.727,3.177,3.333,8.111,2.736,,,,,0.16,22.76,84.007,,,,,,49.316,7.076,20.242,13.602,15.11,0.946,21.996,,10.847,4.971,5.548,6.443,86.638,1.776,16.448,6.759,1.776,61.862,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,
