,NUTS_ID,Area,overview-main-road-network,local_oneway_km,local_twoway_km,local_dualcw_km,local_contra_km,overview-local-road-network,ratio_contraflow,overview-cycle_tracks-km,overview-cycle_lanes-km,overview-shared_pedestrians-km,overview-limited-access-km,overview-total-cycle-infrastructure,overview-busways-km,overview-cycle_streets-km,overview-ext-cycle-infrastructure,ratio-cycle_tracks-main_roads,ratio-cycle_infra-main_roads,sum_total_surface,sum_total_smoothness,sum_total_width,type-pedestrian-bidirectional,surface_type-limited_access-blocks_slabs_cobbles-km,surface_type-limited_access-gravel_dirt-km,surface_type-limited_access-unknown-km,surface_type-shared_pedestrians-blocks_slabs_cobbles-km,surface_type-shared_pedestrians-unknown-km,surface_type-track-asphalt_concrete-km,surface_type-track-blocks_slabs_cobbles-km,surface_type-track-gravel_dirt-km,surface_type-track-stabilised_gravel-km,surface_type-track-unknown-km,surface_type-track-unrecognised-km,surface_type-shared_pedestrians-asphalt_concrete-km,surface_type-shared_pedestrians-gravel_dirt-km,surface_type-shared_pedestrians-stabilised_gravel-km,surface_type-shared_pedestrians-unrecognised-km,surface_type-limited_access-asphalt_concrete-km,surface_type-limited_access-stabilised_gravel-km,surface_type-limited_access-unrecognised-km,surface_type-lane-asphalt_concrete-km,surface_type-lane-blocks_slabs_cobbles-km,surface_type-lane-gravel_dirt-km,surface_type-lane-stabilised_gravel-km,surface_type-lane-unknown-km,surface_type-lane-unrecognised-km,surface_quality-limited_access-unknown-km,surface_quality-shared_pedestrians-unknown-km,surface_quality-track-perfectly_rideable-km,surface_quality-track-well_rideable-km,surface_quality-track-moderatly_rideable-km,surface_quality-track-badly_rideable-km,surface_quality-track-not_rideable-km,surface_quality-track-unknown-km,surface_quality-shared_pedestrians-perfectly_rideable-km,surface_quality-shared_pedestrians-well_rideable-km,surface_quality-shared_pedestrians-moderatly_rideable-km,surface_quality-shared_pedestrians-badly_rideable-km,surface_quality-shared_pedestrians-not_rideable-km,surface_quality-limited_access-perfectly_rideable-km,surface_quality-limited_access-well_rideable-km,surface_quality-limited_access-moderatly_rideable-km,surface_quality-limited_access-badly_rideable-km,surface_quality-limited_access-not_rideable-km,surface_quality-lane-perfectly_rideable-km,surface_quality-lane-well_rideable-km,surface_quality-lane-moderatly_rideable-km,surface_quality-lane-badly_rideable-km,surface_quality-lane-not_rideable-km,surface_quality-lane-unknown-km,type-limited_access-bidirectional,type-shared_pedestrians-bidirectional,type-track-bidirectional,type-lane-unidirectional,type-track-unidirectional,type-busway-unidirectional,type-street-bidirectional,type-pedestrian-unidirectional,type-shared_pedestrians-unidirectional,type-lane-bidirectional,type-limited_access-unidirectional,type-street-unidirectional,type-busway-bidirectional,CNTR_CODE,Lat,Lon,NUTS_NAME,overview-segregated_infra,segregated_cycle_infra_ratio,overview-public_roads,cycle_infra_to_all_public,without_contraflow_cycling,cycle_tracks_to_main-roads,cycle_lanes_to_main-roads,shared_pedestrians_to_main-roads,cycle_tracks_to_public_roads,cycle_lanes_to_public_roads,shared_pedestrians_to_public_roads,busway_to_public_roads,cycle_street_to_public_roads,limited_access_to_public_roads,percent_surface_type-track-asphalt_concrete,percent_surface_type-track-blocks_slabs_cobbles,percent_surface_type-track-stabilised_gravel,percent_surface_type-track-gravel_dirt,percent_surface_type-track-unrecognised,percent_surface_type-track-unknown,percentage_with_surface_tag,percentage_with_smoothness_tag,percentage_with_width_tag,aditional_data,bidirectional-tracks-share,unidirectional-tracks-share,DATE_PBF
0,AL,28799.7,8360.9,165.1,22987.2,0.0,0.7,23152.9,0.4,62.0,19.6,40.0,70.8,192.4,0.2,3.2,195.8,0.7,0.2,138.4,135.5,21.7,59.1,1.6,67.2,1.5,5.9,20.4,39.6,10.0,0.0,0.0,12.5,0.0,4.9,8.8,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,5.7,22.3,27.4,8.1,0.5,0.0,0.0,26.0,0.6,3.8,13.1,0.2,0.0,0.3,0.0,43.1,18.4,3.3,12.5,4.2,0.0,0.0,0.0,2.9,70.8,40.0,46.3,19.6,15.8,0.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,AL,41.1,20.1,Albania,121.6,1.5,31513.9,0.6,99.6,0.7,0.2,0.5,0.2,0.1,0.1,0.0,0.0,0.2,63.8,16.1,0.0,0.0,0.0,20.1,72.0,70.4,11.3,51.2,74.6,25.4,2024-01-10
1,AT,83944.9,44791.3,1176.8,81287.3,0.0,610.5,83074.7,34.2,2851.8,545.2,3878.4,4263.5,11538.8,22.2,95.5,11656.5,6.4,10.8,8250.6,2016.9,1472.0,4825.7,93.3,1218.7,1006.3,116.9,762.7,1483.8,84.9,188.8,107.2,986.3,0.8,2533.9,290.4,173.2,1.4,1523.0,419.1,3.0,11.8,0.0,0.0,0.0,533.0,0.4,957.3,2835.4,214.8,202.3,91.5,30.6,4.0,2308.6,310.3,450.5,246.0,31.0,5.2,124.3,953.8,1898.9,263.5,65.7,44.8,71.0,3.1,0.2,0.0,426.1,4251.3,3752.1,2534.6,541.7,317.2,22.2,95.1,16.5,126.3,3.4,12.2,0.4,0.0,AT,47.7,14.7,Austria,7275.3,16.2,127866.0,9.1,65.8,6.4,1.2,8.7,2.2,0.4,3.0,0.0,0.1,3.3,52.0,3.0,3.8,6.6,0.0,34.6,71.5,17.5,12.8,33.9,88.9,11.1,2024-01-10
2,BE,30666.2,34967.8,2270.2,64301.3,5.7,2555.1,69132.3,53.0,10843.4,3537.5,1662.0,3766.7,19809.6,20.3,941.8,20771.6,31.0,25.5,8469.5,1045.4,2292.2,4393.1,214.3,360.7,839.0,179.2,288.9,3027.1,932.5,71.5,103.7,6708.0,0.5,1024.0,73.6,96.0,0.3,2101.9,248.8,2.0,26.7,6.6,0.0,0.0,3504.3,0.0,2605.3,1355.5,239.6,169.0,74.1,17.1,1.3,10342.4,121.8,106.6,68.9,7.0,2.2,84.1,521.6,455.3,79.5,20.8,0.6,4.4,13.9,0.3,0.6,3517.7,3750.4,1622.1,5947.2,3031.7,4896.2,20.3,905.9,6.3,40.0,505.8,16.2,35.9,0.0,BE,50.5,5.0,Belgium,16042.9,45.9,104100.0,20.0,47.0,31.0,10.1,4.8,10.4,3.4,1.6,0.0,0.9,3.6,27.9,8.6,1.0,0.7,0.0,61.9,42.8,5.3,11.6,19.9,54.8,45.2,2024-01-10
3,BG,110994.2,25912.0,1060.6,70253.7,0.0,1.4,71315.7,0.1,248.0,60.1,81.1,205.4,594.6,0.0,20.0,614.5,1.0,0.6,343.3,130.9,66.0,737.7,4.3,82.3,24.2,15.2,25.1,85.1,11.2,7.4,0.0,144.2,0.0,39.0,0.1,1.6,0.0,93.0,1.5,0.0,2.4,0.0,0.0,0.0,57.7,0.0,101.5,59.2,7.7,11.0,1.1,0.0,0.6,227.5,3.7,12.4,4.5,1.4,0.0,4.0,31.8,23.9,21.9,22.3,9.4,21.7,0.0,0.0,0.0,29.0,205.2,77.7,224.6,48.3,23.4,0.0,20.0,0.0,3.4,11.9,0.2,0.0,0.0,BG,42.7,25.4,Bulgaria,389.2,1.5,97227.7,0.6,99.9,1.0,0.2,0.3,0.3,0.1,0.1,0.0,0.0,0.2,34.3,4.5,0.0,3.0,0.0,58.1,57.7,22.0,11.1,30.3,90.6,9.4,2024-01-10
4,CH,41286.4,25661.3,791.1,47051.8,0.0,330.6,48173.6,29.5,1135.5,1960.5,1769.0,2811.1,7676.0,35.4,11.5,7722.9,4.4,8.2,3931.1,605.8,439.3,4366.9,112.1,624.3,853.2,34.5,390.4,536.6,28.6,24.4,4.6,540.8,0.3,1154.0,122.3,67.3,0.4,954.2,266.5,0.8,0.0,0.0,0.0,0.0,1960.5,0.0,972.3,1475.6,48.6,45.2,6.4,3.7,0.1,1031.5,115.7,103.3,69.1,4.7,0.7,45.1,695.8,1032.6,42.4,23.0,89.7,76.0,4.1,0.0,0.0,1790.6,2787.6,1652.1,798.9,1959.5,336.5,35.4,11.4,17.9,116.8,1.0,23.5,0.1,0.0,CH,46.7,8.4,Switzerland,4864.9,19.0,73834.9,10.5,70.5,4.4,7.6,6.9,1.5,2.7,2.4,0.0,0.0,3.8,47.3,2.5,0.4,2.2,0.0,47.6,51.2,7.9,5.7,21.6,70.4,29.6,2024-01-10
5,CY,9256.7,6864.5,291.0,13510.1,0.0,0.0,13801.1,0.0,146.7,6.3,53.1,50.0,256.2,0.0,2.5,258.6,2.1,0.0,135.5,14.8,25.0,238.7,2.6,29.2,10.7,4.9,30.4,59.4,7.5,2.8,3.7,73.3,0.1,9.7,7.9,0.2,0.0,6.7,0.8,0.0,0.0,0.0,0.0,0.0,6.3,0.0,17.1,46.9,2.1,2.6,1.2,0.0,0.0,140.9,0.0,1.4,4.9,0.0,0.0,0.1,5.3,25.6,1.9,0.0,0.0,0.0,1.5,0.0,0.0,4.8,49.9,53.1,144.0,6.3,2.7,0.0,2.5,0.2,0.0,0.0,0.1,0.0,0.0,CY,35.2,33.5,Cyprus,206.1,3.0,20665.6,1.3,100.0,2.1,0.1,0.8,0.7,0.0,0.3,0.0,0.0,0.2,40.5,5.1,2.5,1.9,0.1,49.9,52.9,5.8,9.7,22.8,98.2,1.8,2024-01-10
6,CZ,78873.3,61432.5,2491.4,51900.8,0.0,249.8,54642.0,9.1,2221.7,185.2,1858.2,1575.7,5840.7,21.7,25.9,5888.4,3.6,1.6,4192.3,1400.4,588.8,4282.1,157.1,210.3,282.8,164.8,375.7,1185.5,132.1,60.4,38.6,804.7,0.4,1075.7,135.2,106.5,0.2,849.3,76.1,0.0,0.0,0.0,0.0,0.0,185.2,0.0,529.0,1184.2,299.4,230.3,75.3,6.1,2.7,1607.9,367.4,183.5,86.1,16.0,21.0,95.8,523.3,337.2,69.5,20.9,14.3,8.2,0.3,1.9,0.0,160.5,1565.3,1699.1,2107.1,185.1,114.6,21.7,25.8,13.7,159.1,0.1,10.4,0.1,0.0,CZ,49.8,15.7,Czech Republic,4265.0,6.9,116074.5,5.1,90.9,3.6,0.3,3.0,1.9,0.2,1.6,0.0,0.0,1.4,53.4,5.9,1.7,2.7,0.0,36.2,71.8,24.0,10.1,35.3,94.8,5.2,2024-01-10
7,DE,357661.4,284601.7,9916.9,445807.8,72.2,3692.2,459489.0,27.1,25542.3,4410.6,65812.9,36123.0,131888.8,71.1,1669.0,133628.8,9.0,211.6,99728.2,27779.4,23542.1,57216.2,2560.4,6815.5,5676.6,7226.0,8668.2,7729.5,3421.6,473.7,417.5,13492.0,8.0,44371.2,1888.7,3639.5,19.3,15116.2,5937.7,16.5,73.9,10.8,0.0,1.1,4323.7,1.1,6722.1,46380.6,987.2,1322.8,578.1,77.9,21.2,22555.0,7069.9,8756.3,3080.2,460.6,65.3,1826.2,11991.2,13302.8,1925.9,354.9,38.4,41.9,8.3,0.7,0.1,4321.3,36057.4,64985.1,16001.1,4371.9,9541.2,71.1,1643.2,426.9,827.8,38.7,65.6,25.8,0.0,DE,51.0,10.1,Germany,95765.7,33.6,744090.7,18.0,72.9,9.0,1.5,23.1,3.4,0.6,8.8,0.0,0.2,4.9,30.3,13.4,1.6,1.9,0.0,52.8,75.6,21.1,17.8,38.2,62.6,37.4,2024-01-10
8,DK,43171.4,37151.0,464.4,59697.4,0.0,78.6,60240.4,14.5,10363.1,1384.1,3548.0,397.1,15692.3,0.2,13.3,15705.8,27.9,6.4,10378.2,460.5,610.6,3127.1,22.2,271.1,30.4,163.0,307.1,6303.4,132.9,176.7,157.5,3592.6,0.0,2313.8,486.7,277.4,0.0,41.9,31.6,0.0,0.0,0.0,0.0,0.0,1384.1,0.0,128.1,3298.1,158.9,101.6,34.6,1.0,0.1,10066.8,24.9,53.9,150.9,13.0,7.2,1.5,2.6,260.1,4.3,0.5,0.0,0.0,0.0,0.0,0.0,1384.1,395.3,3387.5,6660.5,1373.5,3702.6,0.2,12.0,48.1,160.6,10.6,1.8,1.2,0.0,DK,56.1,9.3,Denmark,15295.2,41.2,97391.4,16.1,85.5,27.9,3.7,9.6,10.6,1.4,3.6,0.0,0.0,0.4,60.8,1.3,1.5,1.7,0.0,34.7,66.1,2.9,3.9,24.3,64.3,35.7,2024-01-10
9,EE,45345.0,17983.6,185.5,26813.0,0.0,10.0,27008.5,5.1,287.8,42.6,1882.3,46.9,2259.5,0.0,2.3,2261.8,1.6,0.8,1933.3,194.1,53.0,318.3,4.2,20.7,10.0,35.2,186.3,140.7,7.2,5.2,47.3,87.4,0.0,1638.9,8.7,13.3,0.0,9.2,2.8,0.0,0.0,0.0,0.0,0.0,42.6,0.0,18.3,1719.4,12.6,4.5,1.2,0.0,0.6,268.8,111.8,42.1,8.0,0.3,0.7,3.1,5.4,12.3,1.9,5.9,0.5,1.8,0.6,0.0,0.0,39.7,46.8,1879.7,280.4,33.6,7.4,0.0,2.3,0.0,2.6,9.0,0.1,0.0,0.0,EE,58.6,25.5,Estonia,2212.6,12.3,44992.1,5.0,94.9,1.6,0.2,10.5,0.6,0.1,4.2,0.0,0.0,0.1,48.9,2.5,16.4,1.8,0.0,30.4,85.6,8.6,2.3,32.2,97.4,2.6,2024-01-10
